player_cnt,nationality,birthcity,city_ascii,iso3,latitude,longitude
1,USA,Maplewood                                    ,Maplewood                          ,USA,38.6121,-90.324
1,USA,Riverside                                    ,Riverside                          ,USA,40.0358,-74.9564
1,USA,Bronxville                                   ,Bronxville                         ,USA,40.9394,-73.8263
3,CAN,Meadow Lake                                  ,Meadow Lake                        ,CAN,54.1301,-108.4347
1,USA,Plymouth                                     ,Plymouth                           ,USA,41.2404,-75.9505
4,USA,Hartford                                     ,Hartford                           ,USA,43.621,-96.9424
1,USA,Dover                                        ,Dover                              ,USA,40.0033,-76.8484
2,SWE,Uppsala                                      ,Uppsala                            ,SWE,59.85,17.6333
1,SVN,Jesenice                                     ,Jesenice                           ,SVN,46.4306,14.0669
1,CZE,Karlovy Vary                                 ,Karlovy Vary                       ,CZE,50.237,12.875
1,SVK,Nitra                                        ,Nitra                              ,SVK,48.309,18.0873
3,SVK,Trencin                                      ,Trencin                            ,SVK,48.8867,18.048
1,NOR,Sarpsborg                                    ,Sarpsborg                          ,NOR,59.2833,11.1167
1,LVA,Aizkraukle                                   ,Aizkraukle                         ,LVA,56.6029,25.2636
1,LTU,Elektrenai                                   ,Elektrenai                         ,LTU,54.7863,24.6626
1,LVA,Ogre                                         ,Ogre                               ,LVA,56.8113,24.6113
1,FIN,Kajaani                                      ,Kajaani                            ,FIN,64.2333,27.6833
13,CAN,Thunder Bay                                  ,Thunder Bay                        ,CAN,48.4462,-89.275
1,USA,Boca Raton                                   ,Boca Raton                         ,USA,26.3749,-80.1077
2,USA,Middletown                                   ,Middletown                         ,USA,39.5032,-84.366
2,USA,Brockton                                     ,Brockton                           ,USA,42.0821,-71.0242
2,USA,Dearborn                                     ,Dearborn                           ,USA,42.3127,-83.2129
6,USA,Livonia                                      ,Livonia                            ,USA,42.3972,-83.3733
2,USA,Plantation                                   ,Plantation                         ,USA,26.126,-80.2617
1,DEU,Rosenheim                                    ,Rosenheim                          ,DEU,47.8503,12.1333
1,USA,Dover                                        ,Dover                              ,USA,43.1887,-70.8845
2,USA,Carmel                                       ,Carmel                             ,USA,39.9658,-86.1461
1,USA,Edmond                                       ,Edmond                             ,USA,35.6689,-97.4159
1,USA,Albany                                       ,Albany                             ,USA,31.5776,-84.1762
1,USA,Auburn                                       ,Auburn                             ,USA,32.6087,-85.4899
1,SWE,Norrkoping                                   ,Norrkoping                         ,SWE,58.5954,16.1787
1,USA,Newport Beach                                ,Newport Beach                      ,USA,33.6151,-117.8669
7,USA,Bloomington                                  ,Bloomington                        ,USA,44.8306,-93.3151
2,USA,Port Huron                                   ,Port Huron                         ,USA,42.9822,-82.4387
1,USA,Troy                                         ,Troy                               ,USA,42.5818,-83.1457
1,USA,Westland                                     ,Westland                           ,USA,42.3192,-83.3805
2,USA,Farmington Hills                             ,Farmington Hills                   ,USA,42.486,-83.3771
1,USA,Auburn                                       ,Auburn                             ,USA,47.3041,-122.211
1,USA,Alton                                        ,Alton                              ,USA,38.9033,-90.1523
1,USA,Parma                                        ,Parma                              ,USA,41.3843,-81.7286
1,CAN,Saint-Jerome                                 ,Saint-Jerome                       ,CAN,45.7666,-74
1,USA,Plymouth                                     ,Plymouth                           ,USA,45.0224,-93.4615
1,USA,Flower Mound                                 ,Flower Mound                       ,USA,33.0344,-97.1147
1,USA,San Ramon                                    ,San Ramon                          ,USA,37.7625,-121.9365
5,CAN,Red Deer                                     ,Red Deer                           ,CAN,52.2666,-113.8
1,USA,Rochester Hills                              ,Rochester Hills                    ,USA,42.6645,-83.1563
2,USA,Winchester                                   ,Winchester                         ,USA,39.1735,-78.1746
3,SWE,Sundsvall                                    ,Sundsvall                          ,SWE,62.4001,17.3167
1,USA,Apple Valley                                 ,Apple Valley                       ,USA,34.5328,-117.2104
4,USA,Cleveland                                    ,Cleveland                          ,USA,35.1818,-84.8707
1,USA,Cherry Hill                                  ,Cherry Hill                        ,USA,39.9034,-74.9947
4,CAN,Lethbridge                                   ,Lethbridge                         ,CAN,49.7005,-112.8333
1,USA,St. Charles                                  ,St. Charles                        ,USA,38.7956,-90.5156
1,USA,Woodbury                                     ,Woodbury                           ,USA,44.9056,-92.923
2,CAN,Kamloops                                     ,Kamloops                           ,CAN,50.6667,-120.3333
1,USA,Dubuque                                      ,Dubuque                            ,USA,42.5007,-90.7067
1,RUS,Leninogorsk                                  ,Leninogorsk                        ,RUS,54.5987,52.4487
3,USA,Grand Forks                                  ,Grand Forks                        ,USA,47.9221,-97.0887
2,USA,Middletown                                   ,Middletown                         ,USA,40.3897,-74.0813
4,CAN,Prince George                                ,Prince George                      ,CAN,53.9167,-122.7667
1,SWE,Boras                                        ,Boras                              ,SWE,57.7304,12.92
1,USA,Blaine                                       ,Blaine                             ,USA,45.1696,-93.2078
5,USA,Eden Prairie                                 ,Eden Prairie                       ,USA,44.8488,-93.4595
4,USA,Lakeville                                    ,Lakeville                          ,USA,44.6776,-93.2521
3,CAN,Medicine Hat                                 ,Medicine Hat                       ,CAN,50.0333,-110.6833
2,USA,Greenwich                                    ,Greenwich                          ,USA,41.0665,-73.6368
2,USA,Waltham                                      ,Waltham                            ,USA,42.3889,-71.2423
1,USA,Brentwood                                    ,Brentwood                          ,USA,37.9356,-121.719
5,USA,Burnsville                                   ,Burnsville                         ,USA,44.7648,-93.2795
2,USA,Rome                                         ,Rome                               ,USA,34.2662,-85.1862
2,USA,Dublin                                       ,Dublin                             ,USA,37.7161,-121.8964
1,USA,Albany                                       ,Albany                             ,USA,44.6275,-123.0966
1,USA,Morristown                                   ,Morristown                         ,USA,36.2047,-83.3005
1,USA,Pontiac                                      ,Pontiac                            ,USA,42.6493,-83.2878
1,USA,Bangor                                       ,Bangor                             ,USA,44.8322,-68.7906
1,USA,Columbus                                     ,Columbus                           ,USA,39.2094,-85.9183
3,USA,Orland Park                                  ,Orland Park                        ,USA,41.6075,-87.8619
1,USA,Plymouth                                     ,Plymouth                           ,USA,41.8783,-70.6309
1,USA,Dearborn Heights                             ,Dearborn Heights                   ,USA,42.3164,-83.2769
1,USA,Wheaton                                      ,Wheaton                            ,USA,41.8561,-88.1083
2,USA,Minnetonka                                   ,Minnetonka                         ,USA,44.9332,-93.4617
1,USA,Farmington                                   ,Farmington                         ,USA,36.7555,-108.1823
1,USA,Apple Valley                                 ,Apple Valley                       ,USA,44.7457,-93.2006
1,USA,Chambersburg                                 ,Chambersburg                       ,USA,39.9315,-77.6556
7,USA,Edina                                        ,Edina                              ,USA,44.8914,-93.3602
2,USA,St. Cloud                                    ,St. Cloud                          ,USA,28.2294,-81.2829
2,CAN,North Bay                                    ,North Bay                          ,CAN,46.3,-79.45
1,USA,Minot                                        ,Minot                              ,USA,48.2374,-101.278
2,USA,Traverse City                                ,Traverse City                      ,USA,44.7547,-85.6035
1,USA,Troy                                         ,Troy                               ,USA,42.7354,-73.6751
1,USA,St. Louis Park                               ,St. Louis Park                     ,USA,44.9488,-93.3649
8,USA,Madison                                      ,Madison                            ,USA,34.7114,-86.7626
2,USA,East Lansing                                 ,East Lansing                       ,USA,42.748,-84.4835
1,USA,Portage                                      ,Portage                            ,USA,42.2,-85.5906
1,USA,Niagara Falls                                ,Niagara Falls                      ,USA,43.0921,-79.0147
1,USA,Glenview                                     ,Glenview                           ,USA,42.0825,-87.8216
2,USA,Dublin                                       ,Dublin                             ,USA,40.1112,-83.1453
3,USA,Chesterfield                                 ,Chesterfield                       ,USA,38.6588,-90.5803
2,USA,Roseville                                    ,Roseville                          ,USA,42.5074,-82.9369
1,USA,Elmhurst                                     ,Elmhurst                           ,USA,41.8973,-87.9432
2,USA,Middletown                                   ,Middletown                         ,USA,41.5476,-72.6549
1,USA,Potomac                                      ,Potomac                            ,USA,39.0141,-77.1943
1,CAN,Joliette                                     ,Joliette                           ,CAN,46.0333,-73.4333
2,USA,West Seneca                                  ,West Seneca                        ,USA,42.8374,-78.7509
1,USA,Quincy                                       ,Quincy                             ,USA,39.9335,-91.3798
1,USA,Farmington                                   ,Farmington                         ,USA,37.7821,-90.4288
4,USA,Moorhead                                     ,Moorhead                           ,USA,46.8674,-96.746
1,USA,Brentwood                                    ,Brentwood                          ,USA,35.9918,-86.7758
1,USA,Beverly                                      ,Beverly                            ,USA,42.5681,-70.8627
1,USA,Buffalo Grove                                ,Buffalo Grove                      ,USA,42.1674,-87.9616
1,USA,Maplewood                                    ,Maplewood                          ,USA,44.984,-93.0247
1,USA,Oviedo                                       ,Oviedo                             ,USA,28.658,-81.1872
